drugbank_id	atc
abacavir	J05AF06
acamprosate	N07BB03
acarbose	A10BF01
acebutolol	C07AB04
acenocoumarol	B01AA07
acetaminophen	N02BE01
acetazolamide	S01EC01
acitretin	D05BB02
acyclovir	D06BB03
adapalene	D10AD03
adenosine	C01EB10
albendazole	P02CA03
alfentanil	N01AH02
alfuzosin	G04CA01
aliskiren	C09XA02
allopurinol	M04AA01
almotriptan	N02CC05
alosetron	A03AE01
alprazolam	N05BA12
amantadine	N04BB01
ambrisentan	C02KX02
amifostine	V03AF05
amikacin	D06AX12
amiloride	C03DB01
aminophylline	R03DA05
amiodarone	C01BD01
amisulpride	N05AL05
amitriptyline	N06AA09
amlodipine	C08CA01
amoxapine	N06AA17
amoxicillin	J01CA04
amphetamine	N06BA01
ampicillin	J01CA01
amprenavir	J05AE05
anagrelide	L01XX35
anastrozole	L02BG03
apomorphine	G04BE07
aprepitant	A04AD12
argatroban	B01AE03
aripiprazole	N05AX12
atazanavir	J05AE08
atenolol	C07AB03
atomoxetine	N06BA09
atorvastatin	C10AA05
atovaquone	P01AX06
atropine	A03BA01
auranofin	M01CB03
azathioprine	L04AX01
azelastine	R01AC03
azithromycin	J01FA10
aztreonam	J01DF01
baclofen	M03BX01
balsalazide	A07EC04
benazepril	C09AA07
benzonatate	R05DB01
bepridil	C08EA02
betahistine	N07CA01
betaxolol	C07AB05
bethanechol	N07AB02
bexarotene	L01XX25
bezafibrate	C10AB02
bicalutamide	L02BB03
bimatoprost	S01EE03
bisoprolol	C07AB07
bleomycin	L01DC01
bortezomib	L01XX32
bosentan	C02KX01
brimonidine	S01EA05
brinzolamide	S01EC04
bromocriptine	G02CB01
budesonide	A07EA06
bumetanide	C03CA02
bupivacaine	N01BB01
buprenorphine	N02AE01
bupropion	N06AX12
buspirone	N05BE01
butorphanol	N02AF01
cabergoline	G02CB03
caffeine	N06BC01
calcipotriol	D05AX02
candesartan	C09CA06
capecitabine	L01BC06
capsaicin	M02AB01
captopril	C09AA01
carbamazepine	N03AF01
carbimazole	H03BB01
carisoprodol	M03BA02
carteolol	C07AA15
carvedilol	C07AG02
cefaclor	J01DC04
cefadroxil	J01DB05
cefazolin	J01DB04
cefdinir	J01DD15
cefditoren	J01DD16
cefepime	J01DE01
cefixime	J01DD08
cefotaxime	J01DD01
cefoxitin	J01DC01
cefpodoxime	J01DD13
cefprozil	J01DC10
ceftazidime	J01DD02
ceftriaxone	J01DD04
cefuroxime	J01DC02
celecoxib	L01XX33
celiprolol	C07AB08
cephalexin	J01DB01
cerivastatin	C10AA06
cetirizine	R06AE07
chloramphenicol	D06AX02
chlordiazepoxide	N05BA02
chloroquine	N06DX02
chlorpheniramine	R06AB02
chlorpromazine	N05AA01
chlorpropamide	A10BB02
chlorthalidone	C03BA04
chlorzoxazone	M03BB03
ciclesonide	R03BA08
ciclopirox	D01AE14
cidofovir	J05AB12
cilazapril	C09AA08
cimetidine	A02BA01
cinacalcet	H05BX01
ciprofloxacin	J01MA02
cisatracurium	M03AC11
cisplatin	L01XA01
citalopram	N06AB04
clarithromycin	J01FA09
clemastine	D04AA14
clindamycin	D10AF01
clobazam	N05BA09
clofarabine	L01BB06
clomipramine	N06AA04
clonazepam	N03AE01
clonidine	C02AC01
clopidogrel	B01AC04
clotrimazole	A01AB18
clozapine	N05AH02
codeine	R05DA04
colchicine	M04AC01
cortisone	H02AB10
cyclobenzaprine	M03BX08
cyclopentolate	S01FA04
cyclophosphamide	L01AA01
cyproheptadine	R06AX02
dacarbazine	L01AX04
danazol	G03XA01
dantrolene	M03CA01
dapsone	D10AX05
darifenacin	G04BD10
dasatinib	L01XE06
delavirdine	J05AG02
desflurane	N01AB07
desipramine	N06AA01
desloratadine	R06AX27
desoximetasone	D07AC03
dexamethasone	A01AC02
dexmedetomidine	N05CM18
dexrazoxane	V03AF02
diazepam	N05BA01
diclofenac	D11AX18
dicloxacillin	J01CF01
dicyclomine	A03AA07
didanosine	J05AF02
diflunisal	N02BA11
digoxin	C01AA05
dihydroergotamine	N02CA01
diltiazem	C08DB01
diphenhydramine	D04AA32
dipyridamole	B01AC07
disopyramide	C01BA03
disulfiram	N07BB01
dobutamine	C01CA07
docetaxel	L01CD02
dofetilide	C01BD04
dolasetron	A04AA04
domperidone	A03FA03
donepezil	N06DA02
dopamine	C01CA04
doripenem	J01DH04
doxazosin	C02CA04
doxepin	N06AA12
doxercalciferol	H05BX03
doxorubicin	L01DB01
doxycycline	A01AB22
droperidol	N01AX01
duloxetine	N06AX21
dutasteride	G04CB02
dyphylline	R03DA01
econazole	D01AC03
efavirenz	J05AG03
eletriptan	N02CC06
entacapone	N04BX02
ephedrine	R01AA03
