id	side_effect
abacavir	Communicable Diseases
abacavir	Immunologic Deficiency Syndromes
abacavir	Hypersensitivity
abacavir	Epilepsy
abacavir	Disease Progression
abacavir	Drug Interactions
abacavir	Cross resistance
acamprosate	"Alcoholic Intoxication, Chronic"
acarbose	Diabetes Mellitus
acarbose	"Diabetes Mellitus, Non-Insulin-Dependent"
acebutolol	Angina Pectoris
acebutolol	Cardiac Arrhythmia
acebutolol	Hypertensive disease
acebutolol	Myocardial Ischemia
acebutolol	Ventricular arrhythmia
acebutolol	Premature ventricular contractions
acebutolol	Premature Cardiac Complex
acebutolol	Hypertensive (finding)
acenocoumarol	Atrial Fibrillation
acenocoumarol	Blood coagulation
acenocoumarol	Pulmonary Embolism
acenocoumarol	Venous Thrombosis
acenocoumarol	Coronary Occlusion
acetaminophen	Arthritis
acetaminophen	Fever
acetaminophen	Headache
acetaminophen	Neuralgia
acetaminophen	Degenerative polyarthritis
acetaminophen	Pain
acetaminophen	Kidney Failure
acetaminophen	Rheumatism
acetaminophen	Toothache
acetaminophen	Migraine Disorders
acetaminophen	Sensory Discomfort
acetaminophen	Ache
acetaminophen	Sore Throat
acetaminophen	Acute onset pain
acetaminophen	Back Pain
acetaminophen	Tension Headache
acetaminophen	Myalgia
acetaminophen	Flu symptoms
acetaminophen	Common Cold
acetaminophen	Nasal congestion (finding)
acetaminophen	Dry cough
acetaminophen	Sinus headache
acetaminophen	Sinusitis
acetaminophen	Sinus pain
acetaminophen	Dyspepsia
acetaminophen	Gout
acetaminophen	Ulcer
acetaminophen	Deficiency of glucose-6-phosphate dehydrogenase
acetaminophen	Rhinorrhea
acetaminophen	Difficulty sleeping
acetaminophen	Dysmenorrhea
acetazolamide	Glaucoma
acetazolamide	Secondary glaucoma
acetazolamide	Acute angle-closure glaucoma
acetazolamide	Mountain sickness acute
acetazolamide	Edema
acetazolamide	Epilepsy
acetazolamide	Absence Epilepsy
acetazolamide	Congestive heart failure
acetazolamide	Seizures
acitretin	Lymphoma
acitretin	Psoriasis
acitretin	Headache
acitretin	Keratosis Follicularis
acitretin	Palmoplantar Keratosis
acitretin	Lichen Planus
acitretin	Other dermatoses
acitretin	Congenital Abnormality
acyclovir	Cytomegalovirus Infections
acyclovir	Eczema
acyclovir	Exanthema
acyclovir	Genital Herpes
acyclovir	Herpes Simplex Infections
acyclovir	Herpes zoster disease
acyclovir	Herpes Zoster Ophthalmicus
acyclovir	Herpesviridae Infections
acyclovir	Keratitis
acyclovir	Pain
acyclovir	Pregnancy
acyclovir	Anterior uveitis
acyclovir	Acute onset pain
acyclovir	Extreme exhaustion
acyclovir	Renal Insufficiency
acyclovir	Communicable Diseases
acyclovir	Hypersensitivity
acyclovir	Virus Diseases
acyclovir	Immunocompromised Host
acyclovir	Herpes encephalitis
acyclovir	Varicella zoster
acyclovir	Mucocutaneous herpes simplex
acyclovir	Chickenpox
acyclovir	Fever
acyclovir	Herpes
acyclovir	Sexually Transmitted Diseases
acyclovir	Scab
acyclovir	Herpes Labialis
acyclovir	"Kidney Failure, Chronic"
acyclovir	Viremia
acyclovir	Drug Interactions
acyclovir	"Keratitis, Herpetic"
acyclovir	Acquired Immunodeficiency Syndrome
acyclovir	Postherpetic neuralgia
acyclovir	Congenital herpes simplex infection
acyclovir	Ulcer
acyclovir	Herpes zoster disseminated
acyclovir	Papule
adapalene	Acne Vulgaris
adapalene	Comedone
adapalene	Acne pustular
adenosine	Atrial Fibrillation
adenosine	Atrial Flutter
adenosine	Seizures
adenosine	Supraventricular tachycardia
adenosine	"Tachycardia, Ventricular"
adenosine	Wolff-Parkinson-White Syndrome
adenosine	Sinus rhythm
