drug	event
lormetazepam	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
fluticasone	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
fluticasone	KEGG_OOCYTE_MEIOSIS
fluticasone	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION
fluticasone	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION
fluticasone	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
fluticasone	KEGG_ETHER_LIPID_METABOLISM
fluticasone	KEGG_ARACHIDONIC_ACID_METABOLISM
fluticasone	KEGG_LINOLEIC_ACID_METABOLISM
fluticasone	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
fluticasone	KEGG_MAPK_SIGNALING_PATHWAY
fluticasone	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION
fluticasone	KEGG_VEGF_SIGNALING_PATHWAY
fluticasone	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY
fluticasone	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
fluticasone	KEGG_LONG_TERM_DEPRESSION
fluticasone	KEGG_GNRH_SIGNALING_PATHWAY
vinflunine	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION
vinflunine	KEGG_GAP_JUNCTION
isosorbide	KEGG_APOPTOSIS
isosorbide	KEGG_JAK_STAT_SIGNALING_PATHWAY
isosorbide	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
isosorbide	KEGG_PATHWAYS_IN_CANCER
isosorbide	KEGG_PANCREATIC_CANCER
isosorbide	KEGG_CHRONIC_MYELOID_LEUKEMIA
isosorbide	KEGG_SMALL_CELL_LUNG_CANCER
aliskiren	KEGG_RENIN_ANGIOTENSIN_SYSTEM
pitavastatin	KEGG_CELL_ADHESION_MOLECULES_CAMS
pitavastatin	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY
pitavastatin	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION
pitavastatin	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON
pitavastatin	KEGG_VIRAL_MYOCARDITIS
lanreotide	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
lanreotide	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
methyltestosterone	KEGG_OOCYTE_MEIOSIS
methyltestosterone	KEGG_PATHWAYS_IN_CANCER
methyltestosterone	KEGG_PROSTATE_CANCER
amisulpride	KEGG_CALCIUM_SIGNALING_PATHWAY
amisulpride	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
amisulpride	KEGG_CALCIUM_SIGNALING_PATHWAY
amisulpride	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
amisulpride	KEGG_GAP_JUNCTION
mianserin	KEGG_PARKINSONS_DISEASE
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
mianserin	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION
