name1,name2,,,,
6-amino-2-n-pentylthiobenzothiazole,Clotrimazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.                                             ",
6-amino-2-n-pentylthiobenzothiazole,econazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.",
6-amino-2-n-pentylthiobenzothiazole,Itraconazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.                                             ",
6-amino-2-n-pentylthiobenzothiazole,Amorolfine,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4.                                             ",
6-amino-2-n-pentylthiobenzothiazole,Terbinafine,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4. ",
acetic acid,Fluconazole,14693534,http://www.ncbi.nlm.nih.gov/pubmed/14693534,"Moosa MY, Sobel JD, Elhalis H, Du W, Akins RA. (2004) Fungicidal activity of fluconazole against Candida albicans in a synthetic vagina-simulative medium. Antimicrob Agents Chemother. 48(1):161-7.",
albaconazole,Terbinafine,15215136,http://www.ncbi.nlm.nih.gov/pubmed/15215136,"Ortoneda M, Capilla J, Pastor FJ, Pujol I, Yustes C, Serena C, Guarro J. (2004) In vitro interactions of approved and novel drugs against Paecilomyces spp. Antimicrob Agents Chemother. 48(7):2727-9.",
Allicin,Fluconazole,19878317,http://www.ncbi.nlm.nih.gov/pubmed/19878317,"Guo N., Wu X.P., Yu L., Liu J.B., Meng R.Z., Jin J., Lu H.J., Wang X.L., Yan S.H., Deng X.M. (2010) In vitro and in vivo interactions between fluconazole and allicin against clinical isolates of fluconazole-resistant Candida albicans determined by alternative methods. Fems Immunology and Medical Microbiology 58:193-201. DOI: 10.1111/j.1574-695X.2009.00620.x.",
Alverine citrate,Fluconazole,20029371,http://www.ncbi.nlm.nih.gov/pubmed/20029371,"Jansen G., Lee A.Y., Epp E., Fredette A., Surprenant J., Harcus D., Scott M., Tan E., Nishimura T., Whiteway M., Hallett M., Thomas D.Y. (2009) Chemogenomic profiling predicts antifungal synergies. Molecular Systems Biology 5. DOI: 10.1038/msb.2009.95.",
amiodarone,Fluconazole,20194694,http://www.ncbi.nlm.nih.gov/pubmed/ 20194694,"Gamarra S, Rocha EM, Zhang YQ, Park S, Rao R, Perlin DS. (2010) Mechanism of the synergistic effect ofand fluconazole in Candida albicans. Antimicrob Agents Chemother. 54(5):1753-61.",
amiodarone,Fluconazole,18006280,http://www.ncbi.nlm.nih.gov/pubmed/ 18006280,"Guo Q, Sun S, Li Y, Yu J, Shi C. (2008) In vitro interactions between azoles andagainst clinical Candida albicans. Int J Antimicrob Agents. 31(1):88-90.",
amiodarone,Itraconazole,18006280,http://www.ncbi.nlm.nih.gov/pubmed/ 18006280,"Guo Q, Sun S, Li Y, Yu J, Shi C. (2008) In vitro interactions between azoles andagainst clinical Candida albicans. Int J Antimicrob Agents. 31(1):88-90.",
amiodarone,Itraconazole,15047538,http://www.ncbi.nlm.nih.gov/pubmed/ 15047538,"Afeltra J, Vitale RG, Mouton JW, Verweij PE. (2004) Potent synergistic in vitro interaction between nonantimicrobial membrane-active compounds and itraconazole against clinical isolates of Aspergillus fumigatus resistant to itraconazole. Antimicrob Agents Chemother. 48(4):1335-43.",
amiodarone,Voriconazole,18006280,http://www.ncbi.nlm.nih.gov/pubmed/ 18006280,"Guo Q, Sun S, Li Y, Yu J, Shi C. (2008) In vitro interactions between azoles andagainst clinical Candida albicans. Int J Antimicrob Agents. 31(1):88-90.",
amiodarone,Micafungin,19280292,http://www.ncbi.nlm.nih.gov/pubmed/19280292,"Nishi I., Sunada A., Toyokawa M., Asari S., Iwatani Y. (2009) In vitro antifungal combination effects of micafungin with fluconazole, voriconazole, amphotericin B, and flucytosine against clinical isolates of Candida species (vol 15, pg 1, 2009). Journal of Infection and Chemotherapy 15:123-124. DOI: 10.1007/s10156-009-0002-7",
Amitriptyline,Fluconazole,10952582,http://www.ncbi.nlm.nih.gov/pubmed/10952582,"Marchetti O., Moreillon P., Glauser M.P., Bille J., Sanglard D. (2000) Potent synergism of the combination of fluconazole and cyclosporine in Candida albicans. Antimicrobial Agents and Chemotherapy 44:2373-2381.",
Amorolfine,6-amino-2-n-pentylthiobenzothiazole,10854813,http://www.ncbi.nlm.nih.gov/pubmed/10854813,"M¨²ckov¨¢ M, Bujd¨¢kov¨¢ H, Kuchta T. (2000) Synergy betweenand ergosterol biosynthesis-inhibiting antimycotics against Candida albicans in vitro. Int J Antimicrob Agents. 15(2):153-4. ",
Amphotericin B,rac-1-O-dodecylglycerol,7979283,http://www.ncbi.nlm.nih.gov/pubmed/ 7979283,"Haynes MP, Buckley HR, Higgins ML, Pieringer RA. (1994) Synergism between the antifungal agentsand alkyl glycerol ethers. Antimicrob Agents Chemother. 38(7):1523-9.",
