"","x"
"1","amlodipine+atorvastatin"
"2","brimonidine+brinzolamide"
"3","amlodipine+bumetanide"
"4","aripiprazole+buspirone"
"5","amitriptyline+celecoxib"
"6","amlodipine+celecoxib"
"7","celecoxib+citalopram"
"8","atorvastatin+clopidogrel"
"9","amisulpride+clozapine"
"10","aripiprazole+clozapine"
"11","citalopram+clozapine"
"12","celecoxib+dexamethasone"
"13","ciprofloxacin+dexamethasone"
"14","clonidine+dexmedetomidine"
"15","celecoxib+diclofenac"
"16","amisulpride+diflunisal"
"17","celecoxib+diphenhydramine"
"18","dexamethasone+diphenhydramine"
"19","amlodipine+dipyridamole"
"20","dasatinib+docetaxel"
"21","clonidine+domperidone"
"22","dexamethasone+domperidone"
"23","amlodipine+donepezil"
"24","atropine+donepezil"
"25","domperidone+dopamine"
"26","amlodipine+doxazosin"
"27","bortezomib+doxorubicin"
"28","dexamethasone+doxorubicin"
"29","docetaxel+doxorubicin"
"30","celecoxib+duloxetine"
"31","bupivacaine+epinephrine"
"32","dexamethasone+erlotinib"
"33","docetaxel+erlotinib"
"34","amitriptyline+estradiol"
"35","amlodipine+estradiol"
"36","celecoxib+estradiol"
"37","citalopram+estradiol"
"38","dexamethasone+estradiol"
"39","duloxetine+estradiol"
"40","bortezomib+etoposide"
"41","atorvastatin+ezetimibe"
"42","atorvastatin+fenofibrate"
"43","celecoxib+fluoxetine"
"44","citalopram+fluoxetine"
"45","clomipramine+fluoxetine"
"46","clozapine+fluoxetine"
"47","duloxetine+gabapentin"
"48","docetaxel+gefitinib"
"49","docetaxel+gemcitabine"
"50","dexamethasone+granisetron"
"51","diphenhydramine+granisetron"
"52","doxorubicin+granisetron"
"53","amlodipine+haloperidol"
"54","aripiprazole+haloperidol"
"55","clozapine+haloperidol"
"56","dexamethasone+haloperidol"
"57","acebutolol+hydrochlorothiazide"
"58","amiloride+hydrochlorothiazide"
"59","amlodipine+hydrochlorothiazide"
"60","bisoprolol+hydrochlorothiazide"
"61","captopril+hydrochlorothiazide"
"62","celecoxib+hydrochlorothiazide"
"63","citalopram+hydrochlorothiazide"
"64","estradiol+hydrochlorothiazide"
"65","amlodipine+indapamide"
"66","dexamethasone+indomethacin"
"67","imatinib+indomethacin"
"68","amlodipine+irbesartan"
"69","captopril+irbesartan"
"70","felodipine+irbesartan"
"71","hydrochlorothiazide+irbesartan"
"72","docetaxel+irinotecan"
"73","gefitinib+irinotecan"
"74","albendazole+ivermectin"
"75","hydrochlorothiazide+labetalol"
"76","bortezomib+lenalidomide"
"77","dexamethasone+lenalidomide"
"78","lapatinib+letrozole"
"79","estradiol+levonorgestrel"
"80","bupivacaine+lidocaine"
"81","dexamethasone+lidocaine"
"82","epinephrine+lidocaine"
"83","hydrochlorothiazide+lisinopril"
"84","bexarotene+loperamide"
"85","celecoxib+loratadine"
"86","amlodipine+loxapine"
"87","dexamethasone+loxapine"
"88","ivermectin+mebendazole"
"89","hydrochlorothiazide+methyldopa"
"90","amlodipine+metoprolol"
"91","felodipine+metoprolol"
"92","hydrochlorothiazide+metoprolol"
"93","amisulpride+mirtazapine"
"94","amlodipine+mirtazapine"
"95","aripiprazole+mirtazapine"
"96","hydrochlorothiazide+mirtazapine"
"97","diclofenac+misoprostol"
"98","mifepristone+misoprostol"
"99","amisulpride+moclobemide"
"100","loratadine+montelukast"
"101","bupropion+naltrexone"
"102","diphenhydramine+naproxen"
"103","indapamide+nebivolol"
"104","melatonin+nefazodone"
"105","donepezil+nifedipine"
"106","doxazosin+nifedipine"
"107","dobutamine+norepinephrine"
"108","donepezil+norepinephrine"
"109","aripiprazole+olanzapine"
"110","clozapine+olanzapine"
"111","duloxetine+olanzapine"
"112","fluoxetine+olanzapine"
"113","haloperidol+olanzapine"
"114","celecoxib+ondansetron"
"115","domperidone+ondansetron"
"116","erlotinib+ondansetron"
"117","loperamide+ondansetron"
"118","amitriptyline+oxybutynin"
"119","hydrochlorothiazide+oxybutynin"
"120","clopidogrel+paclitaxel"
"121","doxorubicin+paclitaxel"
"122","gemcitabine+paclitaxel"
"123","lapatinib+paclitaxel"
"124","methotrexate+pantoprazole"
"125","amitriptyline+paroxetine"
"126","amlodipine+paroxetine"
"127","aripiprazole+paroxetine"
"128","buspirone+paroxetine"
"129","celecoxib+paroxetine"
"130","dexamethasone+paroxetine"
"131","diclofenac+paroxetine"
"132","diphenhydramine+paroxetine"
"133","duloxetine+paroxetine"
"134","estradiol+paroxetine"
"135","haloperidol+paroxetine"
"136","hydrochlorothiazide+paroxetine"
"137","mirtazapine+paroxetine"
"138","olanzapine+paroxetine"
"139","ondansetron+paroxetine"
"140","erlotinib+pemetrexed"
"141","loxapine+pergolide"
"142","amitriptyline+perphenazine"
"143","metoclopramide+phenylephrine"
"144","betaxolol+pilocarpine"
"145","hydrochlorothiazide+pindolol"
"146","glimepiride+pioglitazone"
"147","albendazole+prednisolone"
"148","dipyridamole+prednisolone"
"149","montelukast+prednisolone"
"150","pentoxifylline+primidone"
"151","ciprofloxacin+probenecid"
"152","colchicine+probenecid"
"153","celecoxib+prochlorperazine"
"154","diclofenac+prochlorperazine"
"155","diphenhydramine+prochlorperazine"
"156","erlotinib+prochlorperazine"
"157","granisetron+prochlorperazine"
"158","loperamide+prochlorperazine"
"159","estradiol+progesterone"
"160","amitriptyline+promethazine"
"161","celecoxib+promethazine"
"162","citalopram+promethazine"
"163","dexamethasone+promethazine"
"164","diphenhydramine+promethazine"
"165","dopamine+promethazine"
"166","duloxetine+promethazine"
"167","estradiol+promethazine"
"168","haloperidol+promethazine"
"169","imatinib+promethazine"
"170","indomethacin+promethazine"
"171","loperamide+promethazine"
"172","norepinephrine+promethazine"
"173","olanzapine+promethazine"
"174","ondansetron+promethazine"
"175","paroxetine+promethazine"
"176","phenylephrine+promethazine"
"177","prochlorperazine+promethazine"
"178","etodolac+propranolol"
"179","hydrochlorothiazide+propranolol"
"180","aripiprazole+quetiapine"
"181","buspirone+quetiapine"
"182","celecoxib+quetiapine"
"183","clonidine+quetiapine"
"184","clozapine+quetiapine"
"185","diphenhydramine+quetiapine"
"186","donepezil+quetiapine"
"187","duloxetine+quetiapine"
"188","fluoxetine+quetiapine"
"189","haloperidol+quetiapine"
"190","mirtazapine+quetiapine"
"191","olanzapine+quetiapine"
"192","paroxetine+quetiapine"
"193","promethazine+quetiapine"
"194","diclofenac+quinidine"
"195","amlodipine+raloxifene"
"196","glimepiride+ramelteon"
"197","aripiprazole+risperidone"
"198","clozapine+risperidone"
"199","donepezil+risperidone"
"200","duloxetine+risperidone"
"201","fluoxetine+risperidone"
"202","haloperidol+risperidone"
"203","mirtazapine+risperidone"
"204","olanzapine+risperidone"
"205","paroxetine+risperidone"
"206","promethazine+risperidone"
"207","quetiapine+risperidone"
"208","orlistat+rizatriptan"
"209","amitriptyline+rosiglitazone"
"210","amlodipine+rosiglitazone"
"211","clonidine+rosiglitazone"
"212","glimepiride+rosiglitazone"
"213","hydrochlorothiazide+rosiglitazone"
"214","paroxetine+rosiglitazone"
"215","quetiapine+rosiglitazone"
"216","atorvastatin+rosuvastatin"
"217","gemfibrozil+rosuvastatin"
"218","formoterol+salmeterol"
"219","pioglitazone+saxagliptin"
"220","rosiglitazone+saxagliptin"
"221","iloprost+sildenafil"
"222","atorvastatin+simvastatin"
"223","bortezomib+simvastatin"
"224","ezetimibe+simvastatin"
"225","fenofibrate+simvastatin"
"226","gefitinib+simvastatin"
"227","lapatinib+simvastatin"
"228","pravastatin+simvastatin"
"229","dexamethasone+sorafenib"
"230","doxorubicin+sorafenib"
"231","erlotinib+sorafenib"
"232","prochlorperazine+sorafenib"
"233","simvastatin+sorafenib"
"234","aripiprazole+spironolactone"
"235","carvedilol+spironolactone"
"236","furosemide+spironolactone"
"237","hydrochlorothiazide+spironolactone"
"238","paroxetine+spironolactone"
"239","propranolol+spironolactone"
"240","rosiglitazone+spironolactone"
"241","sorafenib+spironolactone"
"242","naproxen+sumatriptan"
"243","sildenafil+tadalafil"
"244","doxorubicin+tamoxifen"
"245","perphenazine+tamoxifen"
"246","phenelzine+tamoxifen"
"247","promethazine+tamoxifen"
"248","celecoxib+tamsulosin"
"249","dexamethasone+tamsulosin"
"250","dutasteride+tamsulosin"
"251","lapatinib+tamsulosin"
"252","amlodipine+telmisartan"
"253","bisoprolol+telmisartan"
"254","celecoxib+telmisartan"
"255","clopidogrel+telmisartan"
"256","hydrochlorothiazide+telmisartan"
"257","nifedipine+telmisartan"
"258","amlodipine+terazosin"
"259","bimatoprost+timolol"
"260","brimonidine+timolol"
"261","brinzolamide+timolol"
"262","hydrochlorothiazide+timolol"
"263","formoterol+tiotropium"
"264","celecoxib+tolterodine"
"265","hydrochlorothiazide+tolterodine"
"266","tamsulosin+tolterodine"
"267","duloxetine+topiramate"
"268","levetiracetam+topiramate"
"269","promethazine+topiramate"
"270","quetiapine+topiramate"
"271","sumatriptan+topiramate"
"272","lapatinib+topotecan"
"273","simvastatin+topotecan"
"274","paclitaxel+toremifene"
"275","aripiprazole+trazodone"
"276","celecoxib+trazodone"
"277","citalopram+trazodone"
"278","fluoxetine+trazodone"
"279","haloperidol+trazodone"
"280","mianserin+trazodone"
"281","olanzapine+trazodone"
"282","paroxetine+trazodone"
"283","promethazine+trazodone"
"284","quetiapine+trazodone"
"285","risperidone+trazodone"
"286","rosiglitazone+trazodone"
"287","topiramate+trazodone"
"288","hydrochlorothiazide+triamterene"
"289","spironolactone+trifluoperazine"
"290","ciprofloxacin+trimethoprim"
"291","amlodipine+valdecoxib"
"292","celecoxib+valdecoxib"
"293","hydrochlorothiazide+valdecoxib"
