"","x"
"1","metronidazole+tetracycline"
"2","ritonavir+saquinavir"
"3","efavirenz+isoniazid"
"4","efavirenz+pyrazinamide"
"5","efavirenz+zidovudine"
"6","isoniazid+pyrazinamide"
"7","isoniazid+zidovudine"
"8","pyrazinamide+zidovudine"
"9","isoniazid+ritonavir"
"10","isoniazid+saquinavir"
"11","phenylephrine+cyclopentolate"
"12","diclofenac+acetaminophen"
"13","clarithromycin+lansoprazole"
"14","gemfibrozil+cerivastatin"
"15","doxorubicin+prednisone"
"16","doxorubicin+vincristine"
"17","prednisone+vincristine"
"18","nevirapine+zidovudine"
"19","metformin+rosiglitazone"
"20","irbesartan+aliskiren"
"21","nevirapine+ritonavir"
"22","ritonavir+zidovudine"
"23","docetaxel+prednisone"
"24","capecitabine+cyclophosphamide"
"25","capecitabine+docetaxel"
"26","capecitabine+doxorubicin"
"27","cyclophosphamide+docetaxel"
"28","cyclophosphamide+doxorubicin"
"29","docetaxel+doxorubicin"
"30","montelukast+fluticasone"
"31","montelukast+salmeterol"
"32","salmeterol+fluticasone"
"33","prednisone+tacrolimus"
"34","epinephrine+fentanyl"
"35","hydrochlorothiazide+aliskiren"
"36","ketorolac+morphine"
"37","ketorolac+ropivacaine"
"38","docetaxel+lapatinib"
"39","doxorubicin+etoposide"
"40","etoposide+vincristine"
"41","doxorubicin+paclitaxel"
"42","octreotide+midodrine"
"43","quetiapine+venlafaxine"
"44","pregabalin+oxycodone"
"45","docetaxel+pemetrexed"
"46","tolterodine+clobazam"
"47","moxifloxacin+pyrazinamide"
"48","methotrexate+methylprednisolone"
"49","metformin+pioglitazone"
"50","metformin+sitagliptin"
"51","prednisone+thalidomide"
"52","dexamethasone+ondansetron"
"53","pioglitazone+sitagliptin"
"54","dexamethasone+doxorubicin"
"55","dexamethasone+prednisone"
"56","dexamethasone+vincristine"
"57","methotrexate+sulfasalazine"
"58","ramipril+aliskiren"
"59","isoniazid+rifabutin"
"60","caffeine+orphenadrine"
"61","cisplatin+cyclophosphamide"
"62","fentanyl+diazepam"
"63","hydrocodone+chlorpheniramine"
"64","promethazine+codeine"
"65","phenylephrine+codeine"
"66","phenylephrine+promethazine"
"67","caffeine+codeine"
"68","chlorthalidone+atenolol"
"69","indinavir+zidovudine"
"70","ketoprofen+acetaminophen"
"71","clemastine+acetaminophen"
"72","oxycodone+ibuprofen"
"73","paclitaxel+sorafenib"
"74","dexamethasone+thalidomide"
"75","caffeine+acetaminophen"
"76","indomethacin+prochlorperazine"
"77","dexamethasone+topotecan"
"78","topotecan+vincristine"
"79","tramadol+acetaminophen"
"80","ibuprofen+chlorpheniramine"
"81","naloxone+buprenorphine"
"82","prednisolone+gentamicin"
"83","pioglitazone+saxagliptin"
"84","losartan+atenolol"
"85","losartan+propranolol"
"86","propranolol+atenolol"
"87","cyclophosphamide+dexamethasone"
"88","cyclophosphamide+thalidomide"
"89","dexamethasone+lenalidomide"
"90","leflunomide+methotrexate"
"91","leflunomide+sulfasalazine"
"92","hydrochlorothiazide+valsartan"
"93","valsartan+aliskiren"
"94","dexamethasone+palonosetron"
"95","gemcitabine+sorafenib"
"96","diclofenac+ibuprofen"
"97","amoxicillin+acetaminophen"
"98","lisinopril+losartan"
"99","clopidogrel+omeprazole"
"100","metformin+olanzapine"
"101","metformin+zonisamide"
"102","olanzapine+zonisamide"
"103","capecitabine+cisplatin"
"104","levetiracetam+lorazepam"
"105","doxorubicin+gemcitabine"
"106","gemcitabine+paclitaxel"
"107","prazosin+fluticasone"
"108","methylprednisolone+vasopressin"
"109","granisetron+prochlorperazine"
"110","cyclophosphamide+fludarabine"
"111","doxorubicin+ifosfamide"
"112","ifosfamide+vincristine"
"113","metronidazole+omeprazole"
"114","omeprazole+tetracycline"
"115","cisplatin+pemetrexed"
"116","cyclophosphamide+lenalidomide"
"117","doxorubicin+bleomycin"
"118","doxorubicin+procarbazine"
"119","etoposide+bleomycin"
"120","etoposide+prednisone"
"121","etoposide+procarbazine"
"122","prednisone+bleomycin"
"123","prednisone+procarbazine"
"124","cyclophosphamide+paclitaxel"
"125","midazolam+fentanyl"
"126","everolimus+tacrolimus"
"127","formoterol+fluticasone"
"128","cyclophosphamide+etoposide"
"129","naltrexone+paroxetine"
"130","ezetimibe+fenofibrate"
"131","cisplatin+vinorelbine"
"132","methotrexate+prednisolone"
"133","cisplatin+topotecan"
"134","captopril+aliskiren"
"135","citalopram+chlordiazepoxide"
"136","citalopram+pioglitazone"
"137","pioglitazone+chlordiazepoxide"
"138","lenalidomide+prednisone"
"139","everolimus+prednisolone"
"140","morphine+acetaminophen"
"141","dutasteride+goserelin"
"142","dutasteride+ketoconazole"
"143","everolimus+pimecrolimus"
"144","glimepiride+metformin"
"145","glimepiride+pioglitazone"
"146","glimepiride+rosiglitazone"
"147","pioglitazone+rosiglitazone"
"148","clonidine+lidocaine"
"149","oxacillin+ceftriaxone"
"150","dipyridamole+telmisartan"
"151","doxorubicin+lenalidomide"
"152","ezetimibe+simvastatin"
"153","olanzapine+quetiapine"
"154","olanzapine+ziprasidone"
"155","quetiapine+ziprasidone"
"156","dacarbazine+bleomycin"
"157","dacarbazine+doxorubicin"
"158","dacarbazine+vinblastine"
"159","doxorubicin+vinblastine"
"160","vinblastine+bleomycin"
"161","clarithromycin+ceftriaxone"
"162","clarithromycin+metronidazole"
"163","clarithromycin+omeprazole"
"164","rivastigmine+memantine"
"165","fexofenadine+prednisone"
"166","formoterol+terbutaline"
"167","morphine+ketamine"
"168","duloxetine+venlafaxine"
"169","etoposide+mitoxantrone"
"170","prednisolone+fluticasone"
"171","sildenafil+methyltestosterone"
"172","pitavastatin+ritonavir"
"173","metformin+saxagliptin"
"174","isoniazid+nevirapine"
"175","metronidazole+ceftriaxone"
"176","epinephrine+norepinephrine"
"177","citalopram+sertraline"
"178","cisplatin+imatinib"
"179","sertraline+clonazepam"
"180","amlodipine+simvastatin"
"181","amlodipine+telmisartan"
"182","simvastatin+telmisartan"
"183","metformin+gliclazide"
"184","cyclophosphamide+methylprednisolone"
"185","cyclophosphamide+prednisone"
"186","methylprednisolone+prednisone"
"187","naltrexone+buprenorphine"
"188","linezolid+ceftriaxone"
"189","prednisolone+thalidomide"
"190","cisplatin+gemcitabine"
"191","losartan+aliskiren"
"192","ticlopidine+itraconazole"
"193","etoposide+irinotecan"
"194","methotrexate+tacrolimus"
"195","capecitabine+irinotecan"
"196","gefitinib+pemetrexed"
"197","dexamethasone+docetaxel"
"198","doxorubicin+lapatinib"
"199","lapatinib+paclitaxel"
"200","lidocaine+ceftriaxone"
"201","phenylephrine+chlorpheniramine"
"202","codeine+chlorpheniramine"
"203","tamoxifen+goserelin"
"204","cefotaxime+ceftriaxone"
"205","naltrexone+morphine"
"206","amlodipine+aliskiren"
"207","amlodipine+hydrochlorothiazide"
"208","hydrochlorothiazide+olmesartan"
"209","topiramate+phentermine"
"210","probenecid+ampicillin"
"211","hydrochlorothiazide+hydralazine"
"212","phenylephrine+ibuprofen"
"213","promethazine+meperidine"
"214","amiodarone+fluconazole"
"215","amiodarone+itraconazole"
"216","amiodarone+voriconazole"
"217","amitriptyline+fluconazole"
"218","bupivacaine+itraconazole"
"219","chlorpromazine+fluconazole"
"220","chlorpromazine+ketoconazole"
"221","ciclopirox+ketoconazole"
"222","clarithromycin+dapsone"
"223","clomipramine+fluconazole"
"224","dacarbazine+estradiol"
"225","dacarbazine+tamoxifen"
"226","disulfiram+ketoconazole"
"227","doxycycline+fluconazole"
"228","econazole+ibuprofen"
"229","fluconazole+fluvastatin"
"230","fluconazole+ibuprofen"
"231","fluconazole+pyrazinamide"
"232","fluconazole+terbinafine"
"233","fluconazole+lovastatin"
"234","fluconazole+ofloxacin"
"235","fluvastatin+itraconazole"
"236","isoniazid+itraconazole"
"237","ketoconazole+lovastatin"
"238","ketoconazole+ribavirin"
"239","ketoconazole+terbinafine"
"240","lansoprazole+itraconazole"
"241","lidocaine+itraconazole"
"242","lovastatin+voriconazole"
"243","miconazole+ibuprofen"
"244","miconazole+terbinafine"
"245","perphenazine+tamoxifen"
"246","phenelzine+tamoxifen"
"247","phenelzine+posaconazole"
"248","phenelzine+voriconazole"
"249","posaconazole+terbinafine"
"250","pyrazinamide+itraconazole"
"251","pyrazinamide+voriconazole"
"252","tacrolimus+itraconazole"
"253","terbinafine+itraconazole"
"254","terbinafine+voriconazole"
"255","trimethoprim+atovaquone"
"256","voriconazole+itraconazole"
"257","brimonidine+timolol"
"258","budesonide+formoterol"
"259","bortezomib+etoposide"
"260","candesartan+ramipril"
"261","docetaxel+irinotecan"
"262","bortezomib+dexamethasone"
"263","clonidine+dexmedetomidine"
"264","didanosine+efavirenz"
"265","didanosine+isoniazid"
"266","didanosine+ritonavir"
"267","didanosine+saquinavir"
