gene	go
ATPD	GO:0005743
ATPD	GO:0005759
ATPD	GO:0005753
ATPD	GO:0000275
ATPD	GO:0005739
ATPD	GO:0046933
ATPD	GO:0009060
ATPD	GO:0015986
ATPD	GO:0042776
ATPD	GO:0033615
ATPD	GO:0046688
M3K20	GO:0005524
M3K20	GO:0004672
PPBN	GO:0031225
PPBN	GO:0005576
PPBN	GO:0005886
PPBN	GO:0004035
PPBN	GO:0046872
PPBN	GO:0016311
P4K2A	GO:0031410
P4K2A	GO:0005829
P4K2A	GO:0030425
P4K2A	GO:0005768
P4K2A	GO:0035838
P4K2A	GO:0005887
P4K2A	GO:0031224
P4K2A	GO:0005765
P4K2A	GO:0016020
P4K2A	GO:0045121
P4K2A	GO:0005739
P4K2A	GO:0043005
P4K2A	GO:0043025
P4K2A	GO:0043204
P4K2A	GO:0005886
P4K2A	GO:0042734
P4K2A	GO:0005802
P4K2A	GO:0004430
P4K2A	GO:0035651
P4K2A	GO:0005524
P4K2A	GO:0000287
P4K2A	GO:0007032
P4K2A	GO:0007030
P4K2A	GO:0006661
P4K2A	GO:0046854
PK2L1	GO:0034704
PK2L1	GO:0009986
PK2L1	GO:0060170
PK2L1	GO:0031410
PK2L1	GO:0005783
PK2L1	GO:0016021
PK2L1	GO:0005887
PK2L1	GO:0043231
PK2L1	GO:0016020
PK2L1	GO:0097730
PK2L1	GO:0005886
PK2L1	GO:0043235
PK2L1	GO:0051393
PK2L1	GO:0005227
PK2L1	GO:0005262
PK2L1	GO:0005509
PK2L1	GO:0015269
PK2L1	GO:0005261
PK2L1	GO:0008092
PK2L1	GO:0042802
PK2L1	GO:0051371
PK2L1	GO:0005272
PK2L1	GO:0033040
PK2L1	GO:0006812
PK2L1	GO:0071468
PK2L1	GO:0001581
PK2L1	GO:0050912
PK2L1	GO:0050982
PK2L1	GO:0098662
PK2L1	GO:0071805
PK2L1	GO:0051289
PK2L1	GO:0009415
PK2L1	GO:0050915
PK2L1	GO:0007224
PK2L1	GO:0035725
KCD12	GO:0042995
KCD12	GO:0045211
KCD12	GO:0042734
KCD12	GO:0042802
KCD12	GO:0003723
KCD12	GO:0051260
KCD16	GO:0042995
KCD16	GO:0045211
KCD16	GO:0042734
KCD16	GO:0043235
KCD16	GO:0051260
KCD16	GO:0008277
PSB11	GO:0005829
PSB11	GO:0005634
PSB11	GO:0005839
PSB11	GO:0019774
PSB11	GO:0004175
PSB11	GO:0008233
PSB11	GO:0004298
PSB11	GO:0043374
PSB11	GO:0010498
PSB11	GO:0006508
PSB11	GO:0033077
MRGX1	GO:0009986
MRGX1	GO:0016021
MRGX1	GO:0005886
MRGX1	GO:0004930
MRGX1	GO:0004888
MRGX1	GO:0006953
MRGX1	GO:0007166
MRGX1	GO:0007186
MRGX1	GO:1902349
MRGX1	GO:0007165
S47A1	GO:0016324
S47A1	GO:0016323
S47A1	GO:0016021
S47A1	GO:0016020
S47A1	GO:0005886
S47A1	GO:0031982
S47A1	GO:0042887
S47A1	GO:0015179
S47A1	GO:0061459
S47A1	GO:0015299
S47A1	GO:0022857
S47A1	GO:0042910
S47A1	GO:0089718
S47A1	GO:1902475
S47A1	GO:0097638
S47A1	GO:0015695
S47A1	GO:0055085
S47A1	GO:1990961
S47A1	GO:0042908
S47A2	GO:0016021
S47A2	GO:0016020
S47A2	GO:0005886
S47A2	GO:0015299
S47A2	GO:0022857
S47A2	GO:0042910
S47A2	GO:0055085
S47A2	GO:1990961
DPOD1	GO:0016235
DPOD1	GO:0005829
DPOD1	GO:0043625
DPOD1	GO:0016020
DPOD1	GO:0005654
DPOD1	GO:0000109
DPOD1	GO:0005634
DPOD1	GO:0008296
DPOD1	GO:0051539
DPOD1	GO:0003682
DPOD1	GO:0003684
DPOD1	GO:0003677
DPOD1	GO:0003887
DPOD1	GO:0019899
DPOD1	GO:0046872
DPOD1	GO:0000166
DPOD1	GO:0006287
DPOD1	GO:0034644
DPOD1	GO:0071897
DPOD1	GO:0006281
DPOD1	GO:0006260
DPOD1	GO:0045004
DPOD1	GO:0000731
DPOD1	GO:0006261
DPOD1	GO:0070987
DPOD1	GO:0055089
DPOD1	GO:0006297
DPOD1	GO:0009411
TBA3D	GO:0005737
TBA3D	GO:0005874
TBA3D	GO:0005525
TBA3D	GO:0003924
TBA3D	GO:0005200
TBA3D	GO:0000226
TBA3D	GO:0000278
TBB8	GO:0005737
TBB8	GO:0070062
TBB8	GO:0072687
TBB8	GO:0005874
TBB8	GO:0005525
TBB8	GO:0003924
TBB8	GO:0005200
TBB8	GO:0000226
TBB8	GO:0000278
TBB8	GO:0001556
TBB8	GO:0007056
ACHB	GO:0005892
ACHB	GO:0005887
ACHB	GO:0099060
ACHB	GO:0031594
ACHB	GO:0043005
ACHB	GO:0045202
ACHB	GO:0042166
ACHB	GO:0022848
ACHB	GO:0015267
ACHB	GO:0015276
ACHB	GO:0030594
ACHB	GO:0004888
ACHB	GO:1904315
ACHB	GO:0035095
ACHB	GO:0006812
ACHB	GO:0007268
ACHB	GO:0034220
ACHB	GO:0055001
ACHB	GO:0006936
ACHB	GO:0050877
ACHB	GO:0007274
ACHB	GO:0001941
ACHB	GO:0042391
ACHB	GO:0007165
ACHB	GO:0003009
ACHB	GO:0007271
ACHD	GO:0005891
ACHD	GO:0005245
ACHG	GO:0005887
ACHG	GO:0043005
ACHG	GO:0005886
ACHG	GO:0045211
ACHG	GO:0045202
ACHG	GO:0015464
ACHG	GO:0022848
ACHG	GO:0015267
ACHG	GO:0030594
ACHG	GO:0007268
ACHG	GO:0034220
ACHG	GO:0006936
ACHG	GO:0050877
ACHG	GO:0042391
ACHG	GO:0007165
PCFT	GO:0016324
PCFT	GO:0016323
PCFT	GO:0031526
PCFT	GO:0009986
PCFT	GO:0005737
PCFT	GO:0016021
PCFT	GO:0005886
PCFT	GO:0005542
PCFT	GO:0008517
PCFT	GO:0140211
PCFT	GO:0015232
PCFT	GO:0015350
PCFT	GO:0015078
PCFT	GO:0006879
PCFT	GO:1904447
PCFT	GO:0098838
PCFT	GO:0046655
PCFT	GO:0015884
PCFT	GO:0042168
PCFT	GO:0098829
PCFT	GO:1902600
KCNKA	GO:0005887
KCNKA	GO:0005886
KCNKA	GO:0005267
KCNKA	GO:0022841
KCNKA	GO:0005244
KCNKA	GO:0007613
KCNKA	GO:0071805
KCNKA	GO:0034765
KCNKA	GO:0007165
KCNKA	GO:0030322
KCNKI	GO:0005887
KCNKI	GO:0005886
KCNKI	GO:0015269
KCNKI	GO:0015271
KCNKI	GO:0022841
KCNKI	GO:0071467
KCNKI	GO:0097623
KCNKI	GO:0071805
KCNKI	GO:0006813
KCNKI	GO:0030322
SC5A8	GO:0016324
SC5A8	GO:0070062
SC5A8	GO:0016021
SC5A8	GO:0005886
SC5A8	GO:0015129
SC5A8	GO:0140161
SC5A8	GO:0008028
SC5A8	GO:0005343
SC5A8	GO:0022803
SC5A8	GO:0015552
SC5A8	GO:0015293
SC5A8	GO:0006915
SC5A8	GO:0006811
SC5A8	GO:0034356
SC5A8	GO:0015730
SC5A8	GO:0015913
SC5A8	GO:0006814
DGLB	GO:0016021
DGLB	GO:0005765
DGLB	GO:0005654
DGLB	GO:0005886
DGLB	GO:0045211
DGLB	GO:0047372
DGLB	GO:0016298
DGLB	GO:0046872
DGLB	GO:0004806
DGLB	GO:0019369
DGLB	GO:0071926
DGLB	GO:0007216
DGLB	GO:0016042
DGLB	GO:0007405
DGLB	GO:0022008
DGLB	GO:0042136
DGLB	GO:0010898
DGLB	GO:0001516
