drug_name	gene_name
chlorpropamide	ABCC8
glimepiride	ABCC8
glipizide	ABCC8
nateglinide	ABCC8
repaglinide	ABCC8
tolbutamide	ABCC8
gliclazide	ABCC8
minoxidil	ABCC9
nicorandil	ABCC9
dasatinib	ABL1
imatinib	ABL1
dasatinib	ABL2
metformin	ACACB
benazepril	ACE
captopril	ACE
cilazapril	ACE
fosinopril	ACE
lisinopril	ACE
perindopril	ACE
quinapril	ACE
ramipril	ACE
trandolapril	ACE
lisinopril	ACE2
chloroquine	ACE2
hydroxychloroquine	ACE2
galantamine	ACHB
galantamine	ACHG
troglitazone	ACSL4
rosiglitazone	ACSL4
dipyridamole	ADA
fludarabine	ADA
acebutolol	ADRB1
amiodarone	ADRB1
amitriptyline	ADRB1
betaxolol	ADRB1
bisoprolol	ADRB1
cabergoline	ADRB1
carteolol	ADRB1
carvedilol	ADRB1
celiprolol	ADRB1
desipramine	ADRB1
dobutamine	ADRB1
epinephrine	ADRB1
labetalol	ADRB1
levobunolol	ADRB1
loxapine	ADRB1
metoprolol	ADRB1
nadolol	ADRB1
nebivolol	ADRB1
norepinephrine	ADRB1
nortriptyline	ADRB1
olanzapine	ADRB1
pindolol	ADRB1
propafenone	ADRB1
propranolol	ADRB1
sotalol	ADRB1
timolol	ADRB1
amphetamine	ADRB1
ranolazine	ADRB1
atenolol	ADRB1
lamotrigine	ADRB1
paroxetine	ADRB1
trimipramine	ADRB1
terbutaline	ADRB1
salmeterol	ADRB1
formoterol	ADRB1
salbutamol	ADRB1
aripiprazole	ADRB1
pirbuterol	ADRB1
ephedrine	ADRB1
amitriptyline	ADRB2
betaxolol	ADRB2
cabergoline	ADRB2
carteolol	ADRB2
carvedilol	ADRB2
celiprolol	ADRB2
desipramine	ADRB2
dobutamine	ADRB2
ephedrine	ADRB2
epinephrine	ADRB2
formoterol	ADRB2
labetalol	ADRB2
levobunolol	ADRB2
metoprolol	ADRB2
nadolol	ADRB2
norepinephrine	ADRB2
nortriptyline	ADRB2
olanzapine	ADRB2
pindolol	ADRB2
propafenone	ADRB2
propranolol	ADRB2
salmeterol	ADRB2
sotalol	ADRB2
terbutaline	ADRB2
timolol	ADRB2
atenolol	ADRB2
bisoprolol	ADRB2
salbutamol	ADRB2
acebutolol	ADRB2
aripiprazole	ADRB2
pirbuterol	ADRB2
nebivolol	ADRB2
amitriptyline	ADRB3
carteolol	ADRB3
carvedilol	ADRB3
epinephrine	ADRB3
levobunolol	ADRB3
nadolol	ADRB3
norepinephrine	ADRB3
nortriptyline	ADRB3
olanzapine	ADRB3
propranolol	ADRB3
terbutaline	ADRB3
salmeterol	ADRB3
pindolol	ADRB3
formoterol	ADRB3
salbutamol	ADRB3
celiprolol	ADRB3
nebivolol	ADRB3
candesartan	AGTR1
eprosartan	AGTR1
irbesartan	AGTR1
losartan	AGTR1
olmesartan	AGTR1
telmisartan	AGTR1
valsartan	AGTR1
atorvastatin	AHR
flutamide	AHR
leflunomide	AHR
omeprazole	AHR
mexiletine	AHR
nimodipine	AHR
disulfiram	ALDH2
fluoxetine	ANO1
dexamethasone	ANXA1
methylprednisolone	ANXA1
budesonide	ANXA1
amiloride	AOC1
phenelzine	AOC3
hydralazine	AOC3
acetazolamide	AQP1
amiloride	ASIC1
diclofenac	ASIC1
amiloride	ASIC2
amiloride	ASIC3
diclofenac	ASIC3
melatonin	ASMT
caffeine	ATM
cisplatin	ATOX1
lansoprazole	ATP4A
omeprazole	ATP4A
pantoprazole	ATP4A
rabeprazole	ATP4A
lansoprazole	ATP4B
docetaxel	BCL2
paclitaxel	BCL2
ibuprofen	BCL2
isosorbide	BCL2
imatinib	BCR
dasatinib	BCR
estradiol	BECN1
dasatinib	BLK
sorafenib	BRAF
dasatinib	BTK
melatonin	CALR
clozapine	CALY
trifluoperazine	CALY
minocycline	CASP1
minocycline	CASP3
cinacalcet	CASR
danazol	CCL2
bumetanide	CFTR
capsaicin	CFTR
felodipine	CFTR
nimodipine	CFTR
ibuprofen	CFTR
lubiprostone	CLCN2
omeprazole	CLCN2
orlistat	CNR1
entacapone	COMT
tolcapone	COMT
theophylline	CPNE1
lenalidomide	CRBN
thalidomide	CRBN
naloxone	CREB1
imatinib	CSF1R
dasatinib	CSK
progesterone	CTSR1
progesterone	CTSR2
progesterone	CTSR3
progesterone	CTSR4
hydroxocobalamin	CUBN
ketoprofen	CXCR1
fludarabine	DCK
pantoprazole	DDAH1
methyldopa	DDC
pyridoxine	DDC
imatinib	DDR1
sorafenib	DDR2
orlistat	DGLB
doripenem	DPEP1
clofarabine	DPOD1
atorvastatin	DPP4
saxagliptin	DPP4
sitagliptin	DPP4
vildagliptin	DPP4
amoxapine	DRD1
aripiprazole	DRD1
bromocriptine	DRD1
cabergoline	DRD1
chlorpromazine	DRD1
clozapine	DRD1
dopamine	DRD1
fluphenazine	DRD1
haloperidol	DRD1
imipramine	DRD1
loxapine	DRD1
methylergometrine	DRD1
olanzapine	DRD1
pergolide	DRD1
perphenazine	DRD1
pimozide	DRD1
pramipexole	DRD1
prochlorperazine	DRD1
quetiapine	DRD1
risperidone	DRD1
ropinirole	DRD1
thiothixene	DRD1
ziprasidone	DRD1
zuclopenthixol	DRD1
lamotrigine	DRD1
apomorphine	DRD1
paroxetine	DRD1
trimipramine	DRD1
mianserin	DRD1
amantadine	DRD2
amisulpride	DRD2
amoxapine	DRD2
aripiprazole	DRD2
bromocriptine	DRD2
buspirone	DRD2
cabergoline	DRD2
chlorpromazine	DRD2
clozapine	DRD2
desipramine	DRD2
dihydroergotamine	DRD2
domperidone	DRD2
dopamine	DRD2
droperidol	DRD2
fluphenazine	DRD2
haloperidol	DRD2
imipramine	DRD2
loxapine	DRD2
metoclopramide	DRD2
nortriptyline	DRD2
olanzapine	DRD2
pergolide	DRD2
perphenazine	DRD2
pimozide	DRD2
pramipexole	DRD2
prochlorperazine	DRD2
quetiapine	DRD2
risperidone	DRD2
ropinirole	DRD2
thiothixene	DRD2
trifluoperazine	DRD2
ziprasidone	DRD2
zuclopenthixol	DRD2
amphetamine	DRD2
lamotrigine	DRD2
apomorphine	DRD2
paroxetine	DRD2
trimipramine	DRD2
maprotiline	DRD2
memantine	DRD2
promethazine	DRD2
ketamine	DRD2
tetrabenazine	DRD2
mianserin	DRD2
amoxapine	DRD3
aripiprazole	DRD3
bromocriptine	DRD3
cabergoline	DRD3
chlorpromazine	DRD3
clozapine	DRD3
domperidone	DRD3
dopamine	DRD3
droperidol	DRD3
haloperidol	DRD3
loxapine	DRD3
olanzapine	DRD3
pergolide	DRD3
pimozide	DRD3
pramipexole	DRD3
prochlorperazine	DRD3
quetiapine	DRD3
risperidone	DRD3
ropinirole	DRD3
ziprasidone	DRD3
buspirone	DRD3
apomorphine	DRD3
mianserin	DRD3
amisulpride	DRD3
amoxapine	DRD4
aripiprazole	DRD4
bromocriptine	DRD4
cabergoline	DRD4
chlorpromazine	DRD4
clozapine	DRD4
dopamine	DRD4
droperidol	DRD4
haloperidol	DRD4
loxapine	DRD4
olanzapine	DRD4
pergolide	DRD4
pimozide	DRD4
pramipexole	DRD4
prochlorperazine	DRD4
quetiapine	DRD4
risperidone	DRD4
ropinirole	DRD4
trifluoperazine	DRD4
ziprasidone	DRD4
buspirone	DRD4
apomorphine	DRD4
amoxapine	DRD5
aripiprazole	DRD5
bromocriptine	DRD5
cabergoline	DRD5
chlorpromazine	DRD5
clozapine	DRD5
dopamine	DRD5
fluphenazine	DRD5
haloperidol	DRD5
imipramine	DRD5
loxapine	DRD5
olanzapine	DRD5
pergolide	DRD5
pimozide	DRD5
pramipexole	DRD5
quetiapine	DRD5
ropinirole	DRD5
ziprasidone	DRD5
zuclopenthixol	DRD5
apomorphine	DRD5
tamoxifen	EBP
ambrisentan	EDNRA
bosentan	EDNRA
ambrisentan	EDNRB
bosentan	EDNRB
erlotinib	EGFR
gefitinib	EGFR
lapatinib	EGFR
lidocaine	EGFR
rofecoxib	ELN
amifostine	ENPP1
ribavirin	ENPP1
dasatinib	EPHA2
dasatinib	EPHA5
dasatinib	EPHB4
lapatinib	ERBB2
danazol	ESR1
estradiol	ESR1
estramustine	ESR1
melatonin	ESR1
mitotane	ESR1
naloxone	ESR1
progesterone	ESR1
raloxifene	ESR1
tamoxifen	ESR1
tibolone	ESR1
toremifene	ESR1
levonorgestrel	ESR1
testosterone	ESR1
dobutamine	ESR1
methyltestosterone	ESR1
estradiol	ESR2
estramustine	ESR2
raloxifene	ESR2
tamoxifen	ESR2
progesterone	ESR2
rosiglitazone	FFAR1
sorafenib	FGFR1
thalidomide	FGFR2
dasatinib	FGR
sorafenib	FLT3
dasatinib	FRK
dasatinib	FYN
miglitol	GANAB
miglitol	GANC
colchicine	GLRA1
isoflurane	GLRA1
nifedipine	GLRA1
sevoflurane	GLRA1
tropisetron	GLRA1
atropine	GLRA1
memantine	GLRA1
desflurane	GLRA1
colchicine	GLRA2
tropisetron	GLRA2
nifedipine	GLRA3
ivermectin	GLRA3
isoflurane	GLRB
nifedipine	GLRB
sevoflurane	GLRB
tropisetron	GLRB
danazol	GNRHR
goserelin	GNRHR
ibuprofen	GP1BA
estradiol	GPER1
tamoxifen	GPER1
bumetanide	GPR35
furosemide	GPR35
sevoflurane	GRIA1
topiramate	GRIA1
lamotrigine	GRIA1
isoflurane	GRIA1
desflurane	GRIA1
primidone	GRIA2
topiramate	GRIA2
pentobarbital	GRIA2
phenobarbital	GRIA2
topiramate	GRIA3
topiramate	GRIA4
topiramate	GRIK1
primidone	GRIK2
topiramate	GRIK2
pentobarbital	GRIK2
phenobarbital	GRIK2
topiramate	GRIK3
topiramate	GRIK4
topiramate	GRIK5
acamprosate	GRM5
chloroquine	GSTA2
chloroquine	GSTM1
clomipramine	GSTP1
troglitazone	GSTP1
clozapine	GSTP1
clotrimazole	HCAR2
dasatinib	HCK
aminophylline	HDAC2
lovastatin	HDAC2
pravastatin	HDAC2
theophylline	HDAC2
simvastatin	HDAC2
atorvastatin	HDAC2
fluvastatin	HDAC2
pyrimethamine	HEXB
carvedilol	HIF1A
hydralazine	HIF1A
theophylline	HM13
chloroquine	HMGB1
amitriptyline	HRH1
amoxapine	HRH1
aripiprazole	HRH1
azelastine	HRH1
betahistine	HRH1
cetirizine	HRH1
chlorpromazine	HRH1
citalopram	HRH1
clemastine	HRH1
clozapine	HRH1
cyproheptadine	HRH1
desipramine	HRH1
desloratadine	HRH1
diphenhydramine	HRH1
doxepin	HRH1
epinastine	HRH1
fexofenadine	HRH1
fluphenazine	HRH1
haloperidol	HRH1
hydroxyzine	HRH1
imipramine	HRH1
ketotifen	HRH1
levocabastine	HRH1
loratadine	HRH1
loxapine	HRH1
mianserin	HRH1
nortriptyline	HRH1
olanzapine	HRH1
olopatadine	HRH1
perphenazine	HRH1
pimozide	HRH1
promethazine	HRH1
quetiapine	HRH1
risperidone	HRH1
thiothixene	HRH1
trazodone	HRH1
trifluoperazine	HRH1
ziprasidone	HRH1
zuclopenthixol	HRH1
mirtazapine	HRH1
prochlorperazine	HRH1
lamotrigine	HRH1
paroxetine	HRH1
trimipramine	HRH1
maprotiline	HRH1
chlorpheniramine	HRH1
orphenadrine	HRH1
amitriptyline	HRH2
cimetidine	HRH2
famotidine	HRH2
loxapine	HRH2
mianserin	HRH2
nizatidine	HRH2
olanzapine	HRH2
ranitidine	HRH2
epinastine	HRH2
olopatadine	HRH2
azelastine	HRH2
promethazine	HRH2
doxepin	HRH2
aripiprazole	HRH2
betahistine	HRH3
olopatadine	HRH3
aripiprazole	HRH3
amitriptyline	HRH4
amoxapine	HRH4
chlorpromazine	HRH4
clozapine	HRH4
loxapine	HRH4
olanzapine	HRH4
doxepin	HRH4
aripiprazole	HRH4
