drug_name	gene_name
acamprosate	GBRA1
acamprosate	GBRA2
acamprosate	GBRA3
acamprosate	GBRA4
acamprosate	GBRA5
acamprosate	GBRA6
acamprosate	GBRB1
acamprosate	GBRB2
acamprosate	GBRB3
acamprosate	GBRD
acamprosate	GBRE
acamprosate	GBRG1
acamprosate	GBRG2
acamprosate	GBRG3
acamprosate	GBRP
acamprosate	GBRT
acamprosate	NMDZ1
acamprosate	NMDE1
acamprosate	NMDE2
acamprosate	NMDE3
acamprosate	NMDE4
acamprosate	NMD3A
acamprosate	NMD3B
acamprosate	GRM5
acarbose	AMYP
acarbose	MGA
acebutolol	ADRB1
acenocoumarol	VKOR1
acetazolamide	AQP1
acetazolamide	CAH1
acetazolamide	CAH12
acetazolamide	CAH14
acetazolamide	CAH2
acetazolamide	CAH3
acetazolamide	CAH4
acetazolamide	CAH7
acitretin	RARA
acitretin	RARB
acitretin	RARG
acitretin	RET1
acitretin	RXRA
acitretin	RXRB
acitretin	RXRG
acitretin	STAT3
acyclovir	PNPH
adapalene	RARA
adapalene	RARB
adapalene	RARG
adapalene	RXRA
adapalene	RXRB
adapalene	RXRG
adenosine	AA1R
adenosine	AA2AR
adenosine	AA2BR
adenosine	AA3R
adenosine	PI4K2A
adenosine	P4K2B
adenosine	TRPM4
albendazole	TBA1A
albendazole	TBB5
albendazole	TBB4B
alfuzosin	ADA1A
alfuzosin	ADA1B
alfuzosin	ADA1D
alfuzosin	SCNAA
alfuzosin	SCNBA
alfuzosin	SCN1A
alfuzosin	SCN2A
alfuzosin	SCN3A
alfuzosin	SCN4A
alfuzosin	SCN5A
alfuzosin	SCN7A
alfuzosin	SCN8A
alfuzosin	SCN9A
allopurinol	XDH
almotriptan	5HT1B
almotriptan	5HT1D
alosetron	5HT3A
amantadine	DRD2
amantadine	NMDE1
amantadine	NMDE2
amantadine	NMDE3
amantadine	NMDE4
amantadine	NMD3A
ambrisentan	EDNRA
ambrisentan	EDNRB
amifostine	PPBN
amifostine	ENPP1
amiloride	AOC1
amiloride	ASIC1
amiloride	ASIC2
amiloride	ASIC3
amiloride	PKD2
amiloride	PKD2L1
amiloride	UROK
amiloride	SCNNA
amiloride	SCNNB
amiloride	SCNND
amiloride	SCNNG
amiloride	SL9A1
amiloride	TRPC7
amiloride	TRPV2
aminophylline	AA1R
aminophylline	AA2AR
aminophylline	AA2BR
aminophylline	AA3R
aminophylline	HDAC2
aminophylline	PDE3A
aminophylline	PDE3B
aminophylline	PDE4A
aminophylline	PDE4B
aminophylline	PDE4C
aminophylline	PDE4D
aminophylline	PDE5A
amiodarone	ADRB1
amiodarone	CAC1H
amiodarone	CA2D2
amiodarone	KCNA7
amiodarone	KCNH2
amisulpride	DRD2
amitriptyline	ADA1A
amitriptyline	ADA1B
amitriptyline	ADA1D
amitriptyline	ADA2A
amitriptyline	ADRB1
amitriptyline	ADRB2
amitriptyline	ADRB3
amitriptyline	ACM1
amitriptyline	ACM2
amitriptyline	ACM3
amitriptyline	ACM4
amitriptyline	ACM5
amitriptyline	HRH1
amitriptyline	HRH2
amitriptyline	HRH4
amitriptyline	5HT1A
amitriptyline	5HT1B
amitriptyline	5HT1D
amitriptyline	5HT2A
amitriptyline	5HT2C
amitriptyline	5HT6R
amitriptyline	5HT7R
amitriptyline	KCNA1
amitriptyline	KCND2
amitriptyline	KCND3
amitriptyline	KCNQ2
amitriptyline	KCNQ3
amitriptyline	NTRK1
amitriptyline	NTRK2
amitriptyline	OPRD
amitriptyline	OPRK
amitriptyline	OPRM
amitriptyline	SGMR1
amitriptyline	SC6A2
amitriptyline	SC6A4
amlodipine	CAC1C
amlodipine	CAC1D
amlodipine	CAC1F
amlodipine	CAC1S
amlodipine	CA2D1
amoxapine	ADA1A
amoxapine	ADA1B
amoxapine	ADA1D
amoxapine	ADA2A
amoxapine	ADA2B
amoxapine	ADA2C
amoxapine	ACM1
amoxapine	ACM2
amoxapine	ACM3
amoxapine	ACM4
amoxapine	ACM5
amoxapine	DRD1
amoxapine	DRD2
amoxapine	DRD3
amoxapine	DRD4
amoxapine	DRD5
amoxapine	GBRA1
amoxapine	GBRA2
amoxapine	GBRA3
amoxapine	GBRA4
amoxapine	GBRA5
amoxapine	GBRA6
amoxapine	GBRB1
amoxapine	GBRB2
amoxapine	GBRB3
amoxapine	GBRD
amoxapine	GBRE
amoxapine	GBRG1
amoxapine	GBRG2
amoxapine	GBRG3
amoxapine	GBRP
amoxapine	GBRT
amoxapine	HRH1
amoxapine	HRH4
amoxapine	5HT1A
amoxapine	5HT1B
amoxapine	5HT2A
amoxapine	5HT2B
amoxapine	5HT2C
amoxapine	5HT3A
amoxapine	5HT6R
amoxapine	5HT7R
amoxapine	SC6A2
amoxapine	SC6A3
amoxapine	SC6A4
amoxicillin	CP2CJ
amoxicillin	S15A1
amoxicillin	S15A2
amoxicillin	S22A6
anagrelide	PDE3A
anastrozole	CP19A
aprepitant	NK1R
argatroban	THRB
aripiprazole	ADA1A
aripiprazole	ADA1B
aripiprazole	ADA2A
aripiprazole	ADA2B
aripiprazole	ADA2C
aripiprazole	ACM1
aripiprazole	ACM2
aripiprazole	ACM3
aripiprazole	ACM4
aripiprazole	ACM5
aripiprazole	DRD1
aripiprazole	DRD2
aripiprazole	DRD3
aripiprazole	DRD4
aripiprazole	DRD5
aripiprazole	HRH1
aripiprazole	5HT1A
aripiprazole	5HT1B
aripiprazole	5HT1D
aripiprazole	5HT1E
aripiprazole	5HT2A
aripiprazole	5HT2C
aripiprazole	5HT3A
aripiprazole	5HT6R
aripiprazole	5HT7R
atomoxetine	NMDZ1
atomoxetine	NMDE1
atomoxetine	NMDE2
atomoxetine	NMDE3
atomoxetine	NMDE4
atomoxetine	NMD3A
atomoxetine	NMD3B
atomoxetine	SC6A2
atomoxetine	SC6A3
atomoxetine	SC6A4
atorvastatin	AHR
atorvastatin	DPP4
atorvastatin	HMDH
atropine	ACM1
atropine	ACM2
atropine	ACM3
auranofin	IKKB
auranofin	PRDX5
auranofin	TRPA1
azathioprine	HPRT
azathioprine	IMDH1
azathioprine	PUR1
azelastine	HRH1
azithromycin	MTLR
baclofen	GABR1
baclofen	GABR2
baclofen	KCTD12
baclofen	KCTD16
baclofen	KCTD8
balsalazide	LOX5
balsalazide	PPARG
balsalazide	PGH1
balsalazide	PGH2
benazepril	ACE
benzonatate	SCN5A
bepridil	KCNQ4
betahistine	HRH1
betahistine	HRH3
betaxolol	ADRB1
betaxolol	ADRB2
bethanechol	ACM1
bethanechol	ACM2
bethanechol	ACM3
bethanechol	ACM4
bexarotene	RXRA
bexarotene	RXRB
bexarotene	RXRG
bezafibrate	PPARA
bezafibrate	PPARD
bezafibrate	PPARG
bicalutamide	ANDR
bimatoprost	AK1C3
bimatoprost	PE2R1
bimatoprost	PE2R3
bimatoprost	PF2R
bisoprolol	ADRB1
bortezomib	PSA1
bortezomib	PSA2
bortezomib	PSA3
bortezomib	PSA4
bortezomib	PSA5
bortezomib	PSA6
bortezomib	PSA7
bortezomib	PSMA8
bortezomib	PSB1
bortezomib	PSB10
bortezomib	PSMB11
bortezomib	PSB2
bortezomib	PSB3
bortezomib	PSB4
bortezomib	PSB5
bortezomib	PSB6
bortezomib	PSB7
bortezomib	PSB8
bortezomib	PSB9
bortezomib	PSMD1
bortezomib	PSMD2
bortezomib	RELA_STREQ
bosentan	EDNRA
bosentan	EDNRB
brimonidine	ADA2A
brimonidine	ADA2B
brimonidine	ADA2C
brinzolamide	CAH1
brinzolamide	CAH12
brinzolamide	CAH14
brinzolamide	CAH2
brinzolamide	CAH4
brinzolamide	CAH5A
brinzolamide	CAH7
bromocriptine	ADA1A
bromocriptine	ADA1B
bromocriptine	ADA1D
bromocriptine	ADA2A
bromocriptine	ADA2B
bromocriptine	ADA2C
bromocriptine	DRD1
bromocriptine	DRD2
bromocriptine	DRD3
bromocriptine	DRD4
bromocriptine	DRD5
bromocriptine	5HT1A
bromocriptine	5HT1B
bromocriptine	5HT1D
bromocriptine	5HT2A
bromocriptine	5HT2B
bromocriptine	5HT2C
bromocriptine	5HT6R
bromocriptine	5HT7R
budesonide	GCR
bumetanide	CFTR
