id	GENE_ID	GO_PRO
ATPD	ATP5F1D	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; aerobic respiration [GO:0009060]; ATP synthesis coupled proton transport [GO:0015986]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]; mitochondrial proton-transporting ATP synthase complex assembly [GO:0033615]; response to copper ion [GO:0046688]
M3K20	MAP3K20	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
PPBN	ALPG	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; alkaline phosphatase activity [GO:0004035]; metal ion binding [GO:0046872]; dephosphorylation [GO:0016311]
P4K2A	PI4K2A	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; growing cell tip [GO:0035838]; integral component of plasma membrane [GO:0005887]; intrinsic component of membrane [GO:0031224]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; trans-Golgi network [GO:0005802]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; AP-3 adaptor complex binding [GO:0035651]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; endosome organization [GO:0007032]; Golgi organization [GO:0007030]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]
PK2L1	PKD2L1	calcium channel complex [GO:0034704]; cell surface [GO:0009986]; ciliary membrane [GO:0060170]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; alpha-actinin binding [GO:0051393]; calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calcium-activated potassium channel activity [GO:0015269]; cation channel activity [GO:0005261]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; sodium channel activity [GO:0005272]; sour taste receptor activity [GO:0033040]; cation transport [GO:0006812]; cellular response to acidic pH [GO:0071468]; detection of chemical stimulus involved in sensory perception of sour taste [GO:0001581]; detection of chemical stimulus involved in sensory perception of taste [GO:0050912]; detection of mechanical stimulus [GO:0050982]; inorganic cation transmembrane transport [GO:0098662]; potassium ion transmembrane transport [GO:0071805]; protein homotetramerization [GO:0051289]; response to water [GO:0009415]; sensory perception of sour taste [GO:0050915]; smoothened signaling pathway [GO:0007224]; sodium ion transmembrane transport [GO:0035725]
KCD12	KCTD12	cell projection [GO:0042995]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; protein homooligomerization [GO:0051260]
KCD16	KCTD16	cell projection [GO:0042995]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; receptor complex [GO:0043235]; protein homooligomerization [GO:0051260]; regulation of G protein-coupled receptor signaling pathway [GO:0008277]
PSB11	PSMB11	cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]; endopeptidase activity [GO:0004175]; peptidase activity [GO:0008233]; threonine-type endopeptidase activity [GO:0004298]; CD8-positive, alpha-beta T cell differentiation [GO:0043374]; proteasomal protein catabolic process [GO:0010498]; proteolysis [GO:0006508]; T cell differentiation in thymus [GO:0033077]
MRGX1	MRGPRX1	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; transmembrane signaling receptor activity [GO:0004888]; acute-phase response [GO:0006953]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]; response to chloroquine [GO:1902349]; signal transduction [GO:0007165]
S47A1	SLC47A1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; amide transmembrane transporter activity [GO:0042887]; L-amino acid transmembrane transporter activity [GO:0015179]; L-arginine transmembrane transporter activity [GO:0061459]; solute:proton antiporter activity [GO:0015299]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; amino acid import across plasma membrane [GO:0089718]; L-alpha-amino acid transmembrane transport [GO:1902475]; L-arginine import across plasma membrane [GO:0097638]; organic cation transport [GO:0015695]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport [GO:0042908]
S47A2	SLC47A2	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; solute:proton antiporter activity [GO:0015299]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]
DPOD1	POLD1	aggresome [GO:0016235]; cytosol [GO:0005829]; delta DNA polymerase complex [GO:0043625]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleotide-excision repair complex [GO:0000109]; nucleus [GO:0005634]; 3'-5'-exodeoxyribonuclease activity [GO:0008296]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; base-excision repair, gap-filling [GO:0006287]; cellular response to UV [GO:0034644]; DNA biosynthetic process [GO:0071897]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication proofreading [GO:0045004]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-dependent DNA replication [GO:0006261]; error-free translesion synthesis [GO:0070987]; fatty acid homeostasis [GO:0055089]; nucleotide-excision repair, DNA gap filling [GO:0006297]; response to UV [GO:0009411]
TBA3D	TUBA3D	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]
TBB8	TUBB8	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; oocyte maturation [GO:0001556]; spindle assembly involved in female meiosis [GO:0007056]
ACHB	CHRNB1	acetylcholine-gated channel complex [GO:0005892]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic specialization membrane [GO:0099060]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; synapse [GO:0045202]; acetylcholine binding [GO:0042166]; acetylcholine-gated cation-selective channel activity [GO:0022848]; channel activity [GO:0015267]; ligand-gated ion channel activity [GO:0015276]; neurotransmitter receptor activity [GO:0030594]; transmembrane signaling receptor activity [GO:0004888]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; behavioral response to nicotine [GO:0035095]; cation transport [GO:0006812]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; muscle cell development [GO:0055001]; muscle contraction [GO:0006936]; nervous system process [GO:0050877]; neuromuscular synaptic transmission [GO:0007274]; postsynaptic membrane organization [GO:0001941]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]; skeletal muscle contraction [GO:0003009]; synaptic transmission, cholinergic [GO:0007271]
ACHD	ACHD	voltage-gated calcium channel complex [GO:0005891]; voltage-gated calcium channel activity [GO:0005245]
ACHG	CHRNG	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]; acetylcholine receptor activity [GO:0015464]; acetylcholine-gated cation-selective channel activity [GO:0022848]; channel activity [GO:0015267]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; muscle contraction [GO:0006936]; nervous system process [GO:0050877]; regulation of membrane potential [GO:0042391]; signal transduction [GO:0007165]
PCFT	SLC46A1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; folic acid binding [GO:0005542]; folic acid transmembrane transporter activity [GO:0008517]; folic acid:proton symporter activity [GO:0140211]; heme transmembrane transporter activity [GO:0015232]; methotrexate transmembrane transporter activity [GO:0015350]; proton transmembrane transporter activity [GO:0015078]; cellular iron ion homeostasis [GO:0006879]; folate import across plasma membrane [GO:1904447]; folate transmembrane transport [GO:0098838]; folic acid metabolic process [GO:0046655]; folic acid transport [GO:0015884]; heme metabolic process [GO:0042168]; intestinal folate absorption [GO:0098829]; proton transmembrane transport [GO:1902600]
KCNKA	KCNK10	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]; voltage-gated ion channel activity [GO:0005244]; memory [GO:0007613]; potassium ion transmembrane transport [GO:0071805]; regulation of ion transmembrane transport [GO:0034765]; signal transduction [GO:0007165]; stabilization of membrane potential [GO:0030322]
KCNKI	KCNK18	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; calcium-activated potassium channel activity [GO:0015269]; outward rectifier potassium channel activity [GO:0015271]; potassium ion leak channel activity [GO:0022841]; cellular response to pH [GO:0071467]; potassium ion export across plasma membrane [GO:0097623]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; stabilization of membrane potential [GO:0030322]
SC5A8	SLC5A8	apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; lactate transmembrane transporter activity [GO:0015129]; monocarboxylate:sodium symporter activity [GO:0140161]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; organic acid:sodium symporter activity [GO:0005343]; passive transmembrane transporter activity [GO:0022803]; propionate transmembrane transporter activity [GO:0015552]; symporter activity [GO:0015293]; apoptotic process [GO:0006915]; ion transport [GO:0006811]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; propanoate transport [GO:0015730]; short-chain fatty acid import [GO:0015913]; sodium ion transport [GO:0006814]
DGLB	DAGLB	integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; acylglycerol lipase activity [GO:0047372]; lipase activity [GO:0016298]; metal ion binding [GO:0046872]; triglyceride lipase activity [GO:0004806]; arachidonic acid metabolic process [GO:0019369]; endocannabinoid signaling pathway [GO:0071926]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; lipid catabolic process [GO:0016042]; neuroblast proliferation [GO:0007405]; neurogenesis [GO:0022008]; neurotransmitter biosynthetic process [GO:0042136]; positive regulation of triglyceride catabolic process [GO:0010898]; prostaglandin biosynthetic process [GO:0001516]; regulation of inflammatory response [GO:0050727]; retrograde trans-synaptic signaling by endocannabinoid [GO:0098921]
